"id","name","title","group","latitude","longitude","url","services","service_count","categories"
8790,"Lievestuore, Laukaa","Lievestuore","Laukaa","62.2667","26.2","https://www.vierassatamat.fi/fi/kohde/lievestuore-laukaa-8790","Apteekki,Elintarvikekioski,Kahvila,Kauppa,Keräyspiste,Leikkipaikka,Ravintola,Uimaranta,Veneramppi,WC","10","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8747,"Lietsaari, Padasjoki","Lietsaari","Padasjoki","61.37","25.41","https://www.vierassatamat.fi/fi/kohde/lietsaari-padasjoki-8747","Grillipaikka,WC","2","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8787,"Leppälahti, Jyväskylä","Leppälahti","Jyväskylä","62.2367","25.9583","https://www.vierassatamat.fi/fi/kohde/leppalahti-jyvaskyla-8787","Juomavesi,Kahvila,Ravintola,Tapahtumat,Uimaranta","5","ruoka=true;nahtavyys=false;tapahtuma=true;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
7917,"Lekunniemi , Tervo","Lekunniemi","Tervo","62.9583","26.7617","https://www.vierassatamat.fi/fi/kohde/lekunniemi-tervo-7917","Juomavesi,Keräyspiste,Satama,Sauna,Sähkö,Veneramppi,WC","7","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8753,"Lehtisten saaret, Padasjoki","Lehtisten saaret","Padasjoki","61.4767","25.3617","https://www.vierassatamat.fi/fi/kohde/lehtisten-saaret-padasjoki-8753","Grillipaikka,Luontopolku,Sauna,WC","4","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8210,"Lehmonkärki, Asikkala","Lehmonkärki","Asikkala","61.2483","25.4267","https://www.vierassatamat.fi/fi/kohde/lehmonkarki-asikkala-8210","Grillipaikka,Kahvila,Keräyspiste,Leikkipaikka,Luontopolku,Majoitus,Opastus,Pesutupa,Posti,Ravintola,Satama,Sauna,Suihku,Sähkö,Tapahtumat,Uimaranta","16","ruoka=true;nahtavyys=false;tapahtuma=true;kauppa=false;majoitus=true;satama=false;leirinta=false;lahiruoka=false;muut=false"
9908,"Laurilanranta, Vesanto","Laurilanranta","Vesanto","62.8633","26.6317","https://www.vierassatamat.fi/fi/kohde/laurilanranta-vesanto-9908","Grillipaikka,Keräyspiste,Satama,Veneramppi,WC","5","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
7959,"Laukaa, Sararanta, Laukaa","Laukaa, Sararanta","Laukaa","62.41","25.9633","https://www.vierassatamat.fi/fi/kohde/laukaa-sararanta-laukaa-7959","Alko,Apteekki,Bussi,Grillipaikka,Juomavesi,Kahvila,Kauppa,Keräyspiste,Kioski,Leikkipaikka,Lääkäri,Majoitus,Nähtävää,Opastus,Pesutupa,Polttoaine,Posti,Ravintola,Satama,Sauna,Septityhjennys,Suihku,Sähkö,Tapahtumat,Tori,Uimaranta,Veneramppi,WC,Yhteysalus","29","ruoka=true;nahtavyys=true;tapahtuma=true;kauppa=true;majoitus=true;satama=false;leirinta=false;lahiruoka=false;muut=false"
9219,"Lapinsalo, Konnevesi","Lapinsalo","Konnevesi","62.595","26.5233","https://www.vierassatamat.fi/fi/kohde/lapinsalo-konnevesi-9219","Grillipaikka,WC","2","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8797,"Lapinniemi, Äänekoski","Lapinniemi","Äänekoski","62.7117","25.8683","https://www.vierassatamat.fi/fi/kohde/lapinniemi-aanekoski-8797","Grillipaikka,Sauna,Uimaranta,WC","4","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
7895,"Laivaranta, Palas, Padasjoki","Laivaranta, Palas","Padasjoki","61.3617","25.2967","https://www.vierassatamat.fi/fi/kohde/laivaranta-palas-padasjoki-7895","Bussi,Grillipaikka,Juomavesi,Kahvila,Kauppa,Keräyspiste,Kioski,Leikkipaikka,Luontopolku,Majoitus,Moottorihuolto,Nähtävää,Opastus,Pesutupa,Polttoaine,Ravintola,Satama,Sauna,Septityhjennys,Suihku,Sähkö,Tapahtumat,Uimaranta,Veneramppi,WC,Yhteysalus","26","ruoka=true;nahtavyys=true;tapahtuma=true;kauppa=true;majoitus=true;satama=false;leirinta=false;lahiruoka=false;muut=false"
7893,"Lahti, Niemi, vierasvenelaituri, Lahti","Lahti, Niemi, vierasvenelaituri","Lahti","61.0117","25.6483","https://www.vierassatamat.fi/fi/kohde/lahti-niemi-vierasvenelaituri-lahti-7893","Juomavesi,Kahvila,Keräyspiste,Leikkipaikka,Moottorihuolto,Opastus,Polttoaine,Ravintola,Satama,Septityhjennys,Suihku,Sähkö,Tapahtumat,Uimaranta,Veneramppi,WC","16","ruoka=true;nahtavyys=false;tapahtuma=true;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8730,"Lahti, Matkustajasatama, Lahti","Lahti, Matkustajasatama","Lahti","60.9933","25.6467","https://www.vierassatamat.fi/fi/kohde/lahti-matkustajasatama-lahti-8730","Juomavesi,Kahvila,Kauppa,Leikkipaikka,Opastus,Ravintola,Septityhjennys,Tapahtumat","8","ruoka=true;nahtavyys=false;tapahtuma=true;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8812,"Kymönkoski, Viitasaari","Kymönkoski","Viitasaari","63.1117","25.9317","https://www.vierassatamat.fi/fi/kohde/kymonkoski-viitasaari-8812","Keräyspiste,Nähtävää,Satama,Veneramppi","4","ruoka=false;nahtavyys=true;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8791,"Kuussaari, Laukaa","Kuussaari","Laukaa","62.46","25.94","https://www.vierassatamat.fi/fi/kohde/kuussaari-laukaa-8791","Kahvila,Keräyspiste,Opastus,Uimaranta,Veneramppi,WC","6","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
